suggestion_id,repo,source_issue_external_id,suggested_issue_external_id,semantic_score,keyword_score,structural_score,label_score,final_score,source_signal_strength,candidate_signal_strength,suggested_at,label,notes,labeled_by
1452,microsoft/vscode,github:microsoft/vscode#300003,github:microsoft/vscode#302497,0.5528115720394722,0.0,0.0,0.0,0.0,0.4,0.0,2026-03-17 18:52:26.233375,cant_tell,bootstrap: below decision threshold,bootstrap-auto
940,microsoft/vscode,github:microsoft/vscode#301258,github:microsoft/vscode#302506,0.5580666065216064,0.0,0.0,0.0,0.2790333032608032,0.0,0.4,2026-03-17 18:44:20.326612,related_not_duplicate,bootstrap: weak signal similarity,bootstrap-auto
1305,microsoft/vscode,github:microsoft/vscode#289331,github:microsoft/vscode#302497,0.5535682987956739,0.0,0.0,0.0,0.0,0.4,0.0,2026-03-17 18:51:34.113931,cant_tell,bootstrap: below decision threshold,bootstrap-auto
2411,microsoft/vscode,github:microsoft/vscode#301781,github:microsoft/vscode#302485,0.7216638360424252,0.045454545454545456,0.0,0.0,0.0,0.4,0.4,2026-03-17 18:58:18.607885,cant_tell,bootstrap: below decision threshold,bootstrap-auto
5641,microsoft/vscode,github:microsoft/vscode#301207,github:microsoft/vscode#302506,0.642094761133194,0.030303030303030304,0.0,0.0,0.0,0.4,0.4,2026-03-17 19:16:56.209587,cant_tell,bootstrap: below decision threshold,bootstrap-auto
3925,microsoft/vscode,github:microsoft/vscode#302525,github:microsoft/vscode#302485,0.6737039627189693,0.022222222222222223,0.0,0.0,0.0,0.4,0.4,2026-03-17 19:15:47.996064,cant_tell,bootstrap: below decision threshold,bootstrap-auto
3964,microsoft/vscode,github:microsoft/vscode#302525,github:microsoft/vscode#302477,0.5125835500657558,0.0,0.0,0.0,0.0,0.4,0.0,2026-03-17 19:10:00.003575,cant_tell,bootstrap: below decision threshold,bootstrap-auto
4540,microsoft/vscode,github:microsoft/vscode#298982,github:microsoft/vscode#302498,0.6023743091598567,0.0,0.0,0.0,0.0,0.4,0.0,2026-03-17 19:14:11.445300,cant_tell,bootstrap: below decision threshold,bootstrap-auto
61,sindresorhus/awesome,github:sindresorhus/awesome#3377,github:sindresorhus/awesome#3412,0.5335626788437366,0.03125,0.3333333333333333,0.0,0.0,0.3,0.4,2026-03-17 18:32:09.098932,cant_tell,bootstrap: below decision threshold,bootstrap-auto
1523,microsoft/vscode,github:microsoft/vscode#302120,github:microsoft/vscode#302509,0.526988435536623,0.0,0.0,0.0,0.0,0.3,0.0,2026-03-17 18:52:55.930020,cant_tell,bootstrap: below decision threshold,bootstrap-auto
308,microsoft/vscode,github:microsoft/vscode#302245,github:microsoft/vscode#302511,0.5524261221289635,0.0,0.0,0.0,0.0,0.4,0.0,2026-03-17 18:37:31.395511,cant_tell,bootstrap: below decision threshold,bootstrap-auto
2124,microsoft/vscode,github:microsoft/vscode#292277,github:microsoft/vscode#302120,0.6948449015617371,0.014388489208633094,0.0,0.0,0.0,0.4,0.3,2026-03-17 18:56:54.011820,cant_tell,bootstrap: below decision threshold,bootstrap-auto
2658,microsoft/vscode,github:microsoft/vscode#301538,github:microsoft/vscode#302475,0.6223204768395579,0.029850746268656716,0.038461538461538464,0.0,0.0,0.4,0.4,2026-03-17 18:59:17.175882,cant_tell,bootstrap: below decision threshold,bootstrap-auto
3267,facebook/react,github:facebook/react#36048,github:facebook/react#36049,0.5754594951868057,0.0,0.0,0.0,0.0,0.6,0.0,2026-03-17 19:05:38.003545,cant_tell,bootstrap: below decision threshold,bootstrap-auto
2219,microsoft/vscode,github:microsoft/vscode#296161,github:microsoft/vscode#302509,0.59377461112889,0.0,0.0,0.0,0.0,0.4,0.0,2026-03-17 18:57:28.381313,cant_tell,bootstrap: below decision threshold,bootstrap-auto
5838,microsoft/vscode,github:microsoft/vscode#302522,github:microsoft/vscode#302503,0.6344327548484354,0.02074688796680498,0.0,0.0,0.0,0.4,0.4,2026-03-17 19:17:20.898205,cant_tell,bootstrap: below decision threshold,bootstrap-auto
2966,facebook/react,github:facebook/react#36045,github:facebook/react#35813,0.5892728513912662,0.023026315789473683,0.0,1.0,1.0,0.7,0.4,2026-03-17 19:01:52.677795,true_positive,bootstrap: strong label+score,bootstrap-auto
4509,microsoft/vscode,github:microsoft/vscode#298982,github:microsoft/vscode#300486,0.7351551800966263,0.043478260869565216,0.0,0.0,0.0,0.4,0.4,2026-03-17 19:14:09.460832,cant_tell,bootstrap: below decision threshold,bootstrap-auto
3838,facebook/react,github:facebook/react#36039,github:facebook/react#35220,0.6977650883477835,0.11688311688311688,0.0,0.5,0.5,0.4,0.4,2026-03-17 19:09:02.008773,cant_tell,"bootstrap: uncertain, moved to cant_tell",bootstrap-auto
5837,microsoft/vscode,github:microsoft/vscode#302522,github:microsoft/vscode#302498,0.6161947404626169,0.0,0.0,0.0,0.0,0.4,0.0,2026-03-17 19:17:20.900855,cant_tell,bootstrap: below decision threshold,bootstrap-auto
